"Data","Último","Abertura","Máxima","Mínima","Var%"
"25.11.2021","5,5669","5,5933","5,5981","5,5486","-0,70%"
"24.11.2021","5,6061","5,5712","5,6235","5,5540","0,63%"
"23.11.2021","5,5712","5,5854","5,6636","5,5672","-0,27%"
"22.11.2021","5,5865","5,6013","5,6144","5,5620","-0,48%"
"19.11.2021","5,6135","5,5782","5,6151","5,5208","1,01%"
"18.11.2021","5,5576","5,5291","5,5775","5,5237","0,51%"
"17.11.2021","5,5292","5,4986","5,5359","5,4655","0,48%"
"16.11.2021","5,5028","5,4591","5,5093","5,4296","0,83%"
"15.11.2021","5,4575","5,4570","5,4580","5,4570","-0,02%"
"12.11.2021","5,4588","5,4044","5,4686","5,3927","1,11%"
"11.11.2021","5,3989","5,4945","5,4945","5,3879","-1,68%"
"10.11.2021","5,4910","5,5010","5,5103","5,4357","0,19%"
"09.11.2021","5,4804","5,5477","5,5495","5,4559","-1,15%"
"08.11.2021","5,5440","5,5667","5,5979","5,5328","0,02%"
"05.11.2021","5,5428","5,5988","5,6075","5,5012","-1,06%"
"04.11.2021","5,6020","5,5880","5,6281","5,5627","0,89%"
"03.11.2021","5,5525","5,6807","5,7000","5,5447","-2,24%"
"02.11.2021","5,6795","5,6849","5,6849","5,6800","-0,04%"
"01.11.2021","5,6815","5,6221","5,6888","5,6206","0,79%"
"29.10.2021","5,6372","5,6464","5,6636","5,5972","-0,16%"
"28.10.2021","5,6464","5,5374","5,6636","5,5367","1,96%"
"27.10.2021","5,5380","5,5668","5,5924","5,5367","-0,51%"
"26.10.2021","5,5666","5,5557","5,6068","5,5466","0,19%"
"25.10.2021","5,5563","5,6533","5,6587","5,5367","-1,61%"